0.8235236875890835,0.07758118139251129,0.5717179210025358,0.47211855762312743,0.9733351993740379|0.8228912701608484,0.07783830228840377,0.5723564501935893,0.47281038000618236,0.9708336356426961|0.8222588527326187,0.07809542318429627,0.5729949793846417,0.4735022023892383,0.9683320719113608|0.8209940178761578,0.07860966497608163,0.574272037766748,0.4748858471553499,0.9633289444486829|0.8184643481632227,0.07963814855965168,0.5768261545309583,0.47765313668757137,0.9533226895233278|0.8134050087373653,0.08169511572679225,0.5819343880593786,0.48318771575201147,0.9333101796726125|0.8032863298856505,0.08580905006107312,0.592150855116225,0.49425687388089734,0.8932851599711906|0.7931676510339288,0.08992298439535434,0.6023673221730701,0.505326032009782,0.853260140269764|0.7830489721822111,0.09403691872963535,0.6125837892299141,0.5163951901386655,0.8132351205683416|0.7729302933304948,0.09815085306391699,0.6228002562867628,0.5274643482675482,0.773210100866922|0.7628116144787704,0.10226478739819883,0.6330167233436115,0.5385335063964282,0.733185081165503|0.7526929356270537,0.10637872173248059,0.6432331904004563,0.5496026645253105,0.6931600614640837|0.747633596201196,0.10843568889962132,0.6483414239288787,0.5551372435897494,0.6731475516133714|0.745103926488269,0.10946417248319223,0.6508955406930939,0.5579045331219729,0.6631412966880207|0.7438390916318076,0.1099784142749779,0.652172599075201,0.5592881778880848,0.658138169225344|0.7425742567753378,0.11049265606676278,0.6534496574573024,0.5606718226541925,0.6531350417626642|0.7324555779236273,0.1146065904010449,0.6636661245141532,0.5717409807830733,0.6131100220612402|0.7273962384977664,0.11666355756818522,0.6687743580425735,0.5772755598475097,0.5930975122105269|0.7248665687848406,0.11769204115175605,0.6713284748067869,0.5800428493797313,0.5830912572851702|0.7223368990719085,0.1187205247353267,0.6738825915709948,0.5828101389119513,0.5730850023598106|0.7122182202201898,0.12283445906960837,0.6840990586278525,0.5938792970408276,0.5330599826584052|0.7020995413684669,0.12694839340389022,0.6943155256847047,0.6049484551697076,0.49303496295699706|0.7014671239402354,0.12720551429978305,0.6949540548757607,0.6056402775527641,0.4905333992256591|0.7008347065120027,0.12746263519567574,0.6955925840668129,0.6063320999358193,0.4880318354943211|0.6995698716555389,0.12797687698746085,0.6968696424489178,0.6077157447019313,0.4830287080316433|0.6970402019426082,0.12900536057103185,0.6994237592131295,0.610483034234155,0.4730224531062867|0.6919808625167465,0.13106232773817236,0.7045319927415507,0.6160176132986003,0.4530099432555749|0.6818621836650203,0.13517626207245442,0.7147484597983939,0.6270867714274967,0.4129849235541499|0.6717435048132987,0.1392901964067371,0.7249649268552374,0.6381559295563882,0.3729599038527276|0.6616248259615797,0.14340413074102096,0.7351813939120841,0.6492250876852877,0.33293488415130656
0.8216656534154855,0.09014452098177897,0.575035453172796,0.4600971954652957,0.9645654669750418|0.821007621152901,0.09045194144747624,0.5755852454763508,0.46082462729136514,0.9620669890018898|0.8203495888903136,0.09075936191317338,0.5761350377799022,0.4615520591174345,0.9595685110287391|0.8190335243651391,0.09137420284456736,0.5772346223870125,0.4630069227695729,0.9545715550824375|0.8164013953147936,0.09260388470735596,0.5794337916012269,0.4659166500738517,0.9445776431898388|0.8111371372140946,0.09506324843293269,0.5838321300296531,0.4717361046824039,0.9245898194046284|0.8006086210127011,0.09998197588408606,0.5926288068865118,0.4833750138995097,0.8846141718342151|0.790080104811306,0.10490070333523936,0.6014254837433648,0.4950139231166162,0.8446385242637993|0.7795515886099079,0.10981943078639271,0.6102221606002217,0.5066528323337203,0.8046628766933858|0.769023072408522,0.11473815823754678,0.6190188374570891,0.5182917415508188,0.764687229122973|0.7584945562071317,0.11965688568870125,0.6278155143139559,0.5299306507679157,0.7247115815525644|0.7479660400057458,0.1245756131398556,0.6366121911708229,0.5415695599850147,0.6847359339821496|0.7427017819050521,0.12703497686543314,0.641010529599255,0.5473890145935632,0.6647481101969458|0.7400696528547064,0.12826465872822196,0.6432096988134745,0.5502987418978371,0.654754198304344|0.7387535883295309,0.12887949965961593,0.6443092834205804,0.5517536055499738,0.6497572423580419|0.7374375238043587,0.12949434059101,0.6454088680276924,0.5532084692021112,0.64476028641174|0.7269090076029587,0.13441306804216116,0.6542055448845437,0.5648473784192148,0.6047846388413406|0.7216447495022632,0.13687243176773703,0.6586038833129714,0.5706668330277654,0.584796815056139|0.7190126204519192,0.13810211363052532,0.6608030525271855,0.5735765603320436,0.5748029031635395|0.7163804914015666,0.13933179549331273,0.6630022217413986,0.5764862876363166,0.5648089912709383|0.7058519752001698,0.1442505229444674,0.6717988985982669,0.5881251968534174,0.5248333437005281|0.6953234589987731,0.14916925039562184,0.6805955754551296,0.5997641060705194,0.48485769613011676|0.6946654267361863,0.14947667086131866,0.6811453677586841,0.6004915378965872,0.4823592181569655|0.6940073944735958,0.14978409132701587,0.6816951600622387,0.6012189697226561,0.4798607401838137|0.6926913299484239,0.15039893225840995,0.6827947446693473,0.6026738333747942,0.4748637842375123|0.6900592008980735,0.15162861412119916,0.6849939138835645,0.6055835606790692,0.4648698723449092|0.6847949427973741,0.1540879778467751,0.6893922523120017,0.6114030152876221,0.44488204855970653|0.6742664265959782,0.15900670529792932,0.6981889291688773,0.6230419245047306,0.40490640098930025|0.6637379103945836,0.16392543274908422,0.7069856060257539,0.6346808337218383,0.3649307534188942|0.6532093941931936,0.16884416020024126,0.7157822828826415,0.6463197429389554,0.3249551058484917
0.8198076192419275,0.10270786057105218,0.5783529853430713,0.44807583330748885,0.9557957345760607|0.8191239721449832,0.10306558060655409,0.5788140407591272,0.4488388745765716,0.9533003423610964|0.8184403250480417,0.1034233006420556,0.579275096175182,0.4496019158456557,0.9508049501461349|0.8170730308541623,0.10413874071305879,0.5801972070072933,0.45112799838382095,0.945814165716211|0.8143384424663961,0.10556962085506504,0.5820414286715111,0.4541801634601507,0.9358325968563614|0.8088692656908605,0.10843138113907765,0.5857298719999483,0.46028449361281226,0.91586945913666|0.7979309121397984,0.11415490170710328,0.5931067586568248,0.472493153918135,0.8759431836972627|0.7869925585887351,0.11987842227512861,0.6004836453137018,0.4847018142234589,0.8360169082578659|0.7760542050376688,0.1256019428431541,0.6078605319705772,0.49691047452878123,0.7960906328184645|0.7651158514866088,0.13132546341118004,0.6152374186274571,0.5091191348341022,0.7561643573790666|0.7541774979355441,0.13704898397920612,0.6226143052843351,0.5213277951394245,0.7162380819396655|0.7432391443844825,0.14277250454723228,0.6299911919412169,0.5335364554447442,0.6763118065002682|0.737769967608955,0.1456342648312458,0.6336796352696572,0.5396407855974069,0.6563486687805712|0.7350353792211864,0.14706514497325238,0.6355238569338755,0.5426929506737377,0.6463670999207196|0.7336680850273015,0.1477805850442552,0.6364459677659836,0.544219033211902,0.6413763154907955|0.7323007908334246,0.14849602511525917,0.6373680785980947,0.5457451157500676,0.6363855310608716|0.721362437282348,0.15421954568328197,0.6447449652549739,0.5579537760553848,0.5964592556214658|0.7158932605068123,0.15708130596729358,0.6484334085834138,0.564058106208044,0.5764961179017654|0.713158672119044,0.15851218610930007,0.6502776302476325,0.5671102712843733,0.5665145490419142|0.7104240837312757,0.15994306625130603,0.652121851911853,0.5701624363607053,0.5565329801820637|0.6994857301801999,0.16566658681933055,0.6594987385687301,0.5823710966660308,0.5166067047426659|0.6885473766291228,0.17139010738735597,0.6668756252256153,0.5945797569713606,0.4766804293032698|0.6878637295321823,0.17174782742285818,0.6673366806416696,0.5953427982404423,0.4741850370883061|0.6871800824352395,0.1721055474583586,0.6677977360577226,0.596105839509523,0.4716896448733418|0.6858127882413572,0.1728209875293628,0.6687198468898352,0.5976319220476898,0.46669886044341896|0.6830781998535941,0.17425186767137002,0.6705640685540553,0.6006840871240198,0.4567172915835698|0.6776090230780627,0.17711362795538343,0.6742525118824955,0.6067884172766758,0.4367541538638694|0.6666706695270029,0.18283714852341074,0.6816293985393806,0.6189970775819933,0.39682787842446887|0.6557323159759415,0.188560669091439,0.6890062851962618,0.6312057378873097,0.35690160298506757|0.6447939624248837,0.19428418965946495,0.6963831718531432,0.6434143981926252,0.3169753275456675
0.8160915508947693,0.12783453974959605,0.5849880496835989,0.4240331089918551,0.9382562697781154|0.8153566741291203,0.12829285892470668,0.5852716313246557,0.4248673691469661,0.9357670490795278|0.8146217973634664,0.1287511780998166,0.5855552129657128,0.4257016293020747,0.9332778283809418|0.8131520438321658,0.12966781645003828,0.5861223762478259,0.4273701496122965,0.9282993869837693|0.8102125367695606,0.1315010931504801,0.5872567028120537,0.4307071902327367,0.918342504189423|0.8043335226443513,0.1351676465513645,0.5895253559405049,0.4373812714736166,0.8984287386007277|0.7925754943939364,0.14250075335313278,0.5940626621974139,0.4507294339553814,0.8586012074233451|0.7808174661435202,0.14983386015490122,0.5985999684543166,0.4640775964371448,0.8187736762459582|0.7690594378931038,0.15716696695666976,0.6031372747112244,0.47742575891890815,0.7789461450685715|0.7573014096426949,0.1645000737584381,0.6076745809681356,0.4907739214006622,0.739118613891198|0.7455433813922859,0.17183318056020566,0.6122118872250455,0.504122083882415,0.6992910827138158|0.7337853531418773,0.17916628736197307,0.6167491934819566,0.5174702463641685,0.6594635515364371|0.7279063390166706,0.18283284076285786,0.6190178466104129,0.5241443276050454,0.6395497859477465|0.7249668319540707,0.18466611746329956,0.6201521731746389,0.5274813682254821,0.6295929031534023|0.7234970784227712,0.185582755813521,0.6207193364567545,0.5291498885357033,0.6246144617562308|0.7220273248914707,0.18649939416374203,0.6212864997388673,0.5308184088459226,0.6196360203590592|0.7102692966410442,0.1938325009655144,0.6258238059957859,0.5441665713276858,0.5798084891816769|0.7043902825158312,0.19749905436639983,0.6280924591242415,0.5508406525685652,0.5598947235929852|0.7014507754532228,0.1993323310668419,0.6292267856884695,0.5541776931890035,0.549937840798638|0.6985112683906193,0.2011656077672856,0.630361112252701,0.557514733809448,0.5399809580042936|0.6867532401401985,0.20849871456904948,0.6348984185096046,0.5708628962912069,0.5001534268269103|0.6749952118897834,0.21583182137081508,0.639435724766513,0.5842110587729672,0.4603258956495247|0.6742603351241339,0.21629014054592532,0.6397193064075689,0.5850453189280775,0.45783667495094044|0.6735254583584793,0.21674845972103612,0.6400028880486263,0.5858795790831874,0.4553474542523518|0.6720557048271795,0.21766509807125817,0.6405700513307422,0.5875480993934079,0.4503690128551802|0.6691161977645746,0.21949837477170042,0.6417043778949713,0.5908851400138514,0.4404121300608356|0.6632371836393683,0.22316492817258665,0.6439730310234292,0.597559221254731,0.4204983644721475|0.6514791553889531,0.23049803497435778,0.6485103372803411,0.6109073837364909,0.380670833294767|0.6397211271385402,0.2378311417761306,0.6530476435372572,0.624255546218251,0.34084330211738667|0.6279630988881338,0.24516424857790528,0.6575849497941719,0.6376037087000183,0.3010157709400087
0.8123754825476077,0.1529612189281387,0.5916231140241337,0.3999903846762173,0.9207168049801601|0.8115893761132464,0.15352013724285732,0.5917292218901935,0.40089586371735547,0.9182337557979457|0.8108032696788862,0.15407905555757645,0.5918353297562501,0.4018013427584899,0.9157507066157358|0.8092310568101658,0.15519689218701563,0.5920475454883665,0.4036123008407672,0.9107846082513199|0.806086631072728,0.15743256544589418,0.5924719769526036,0.4072342170053184,0.9008524115224777|0.7997977795978377,0.1619039119636493,0.5933208398810742,0.41447804933441734,0.8809880180647911|0.7872200766480784,0.17084660499916043,0.595018565738013,0.42896571399261774,0.8412592311494284|0.7746423736983117,0.17978929803467195,0.5967162915949483,0.4434533786508179,0.8015304442340698|0.7620646707485461,0.188731991070182,0.5984140174518894,0.4579410433090158,0.761801657318701|0.7494869677987949,0.19767468410569627,0.6001117433088371,0.47242870796721487,0.7220728704033431|0.736909264849032,0.20661737714120726,0.601809469165774,0.48691637262540827,0.682344083487983|0.7243315618992755,0.21556007017671988,0.6035071950227159,0.5014040372836017,0.6426152965726204|0.7180427104243943,0.22003141669447548,0.6043560579511884,0.5086478696127011,0.6227509031149396|0.7148982846869554,0.2222670899533534,0.6047804894154251,0.5122697857772491,0.6128187063861013|0.7133260718182396,0.22338492658279477,0.6049927051475426,0.5140807438595227,0.6078526080216812|0.7117538589495168,0.2245027632122317,0.6052049208796583,0.5158917019417973,0.6028865096572569|0.6991761559997473,0.23344545624774934,0.6069026467366018,0.5303793665999977,0.5631577227418976|0.69288730452486,0.23791680276550384,0.6077515096650729,0.5376231989290932,0.5432933292842101|0.6897428787874158,0.2401524760243824,0.6081759411293103,0.5412451150936459,0.5333611325553704|0.6865984530499789,0.24238814928326374,0.6086003725935492,0.5448670312581978,0.5234289358265323|0.6740207501002126,0.25133084231877384,0.6102980984504882,0.559354695916396,0.4837001489111697|0.6614430471504492,0.26027353535428427,0.6119958243074284,0.5738423605745944,0.44397136199580584|0.6606569407160854,0.2608324536690048,0.612101932173488,0.5747478396157336,0.441488312813595|0.6598708342817281,0.2613913719837249,0.6122080400395489,0.5756533186568711,0.43900526363138637|0.6582986214130055,0.2625092086131638,0.6124202557716644,0.5774642767391445,0.43403916526696606|0.6551541956755665,0.2647448818720433,0.6128446872359007,0.5810861929036963,0.42410696853812646|0.648865344200683,0.26921622838979864,0.6136935501643719,0.5883300252327935,0.4042425750804435|0.6362876412509184,0.278158921425313,0.6153912760213172,0.6028176898909937,0.3645137881650819|0.623709938301156,0.28710161446082594,0.6170890018782633,0.6173053545491934,0.3247850012497218|0.6111322353514063,0.2960443074963446,0.6187867277352151,0.6317930192073948,0.2850562143343687
0.8086594142004458,0.178087898106681,0.598258178364669,0.3759476603605788,0.9031773401822045|0.8078220780973765,0.17874741556100948,0.5981868124557297,0.3769243582877436,0.9007004625163699|0.8069847419943035,0.17940693301533595,0.5981154465467905,0.3779010562149072,0.8982235848505294|0.805310069788167,0.18072596792399445,0.5979727147289131,0.3798544520692383,0.8932698295188699|0.8019607253758888,0.18336403774130694,0.5976872510931542,0.38376124377789733,0.8833623188555335|0.7952620365513309,0.1886401773759334,0.5971163238216373,0.39157482719521586,0.8635472975288556|0.7818646589022189,0.19919245664518725,0.5959744692786111,0.4072019940298544,0.8239172548755144|0.7684672812531038,0.20974473591444068,0.5948326147355822,0.42282916086448913,0.7842872122221654|0.7550699036039937,0.2202970151836948,0.5936907601925531,0.4384563276991306,0.7446571695688272|0.7416725259548896,0.2308492944529528,0.5925489056495298,0.45408349453376706,0.7050271269154931|0.7282751483057813,0.24140157372220905,0.5914070511065003,0.4697106613684001,0.6653970842621438|0.7148777706566734,0.2519538529914651,0.5902651965634772,0.48533782820303645,0.6257670416088028|0.7081790818321204,0.25722999262609536,0.5896942692919632,0.49315141162035253,0.6059520202821304|0.7048297374198432,0.25986806244341065,0.5894088056562098,0.49705820332901474,0.5960445096187957|0.7031550652137041,0.2611870973520672,0.5892660738383263,0.49901159918334415,0.5910907542871261|0.7014803930075677,0.2625061322607253,0.589123342020451,0.5009649950376728,0.5861369989554593|0.6880830153584521,0.27305841152998395,0.5879814874774253,0.5165921618723074,0.5465069563021147|0.6813843265338918,0.2783345511646108,0.587410560205905,0.5244057452896248,0.52669193497544|0.6780349821216073,0.28097262098192277,0.5871250965701489,0.5283125369982831,0.5167844243121013|0.6746856377093331,0.28361069079923923,0.5868396329343929,0.5322193287069459,0.5068769136487676|0.6612882600602235,0.2941629700684937,0.5856977783913684,0.5478464955415806,0.4672468709954219|0.6478908824111131,0.30471524933775496,0.5845559238483421,0.5634736623762205,0.4276168283420846|0.6470535463080469,0.3053747667920826,0.5844845579394041,0.564450360303389,0.4251399506762511|0.6462162102049778,0.3060342842464116,0.584413192030468,0.5654270582305531,0.4226630730104172|0.6445415379988367,0.30735331915507,0.5842704602125904,0.5673804540848819,0.41770931767875147|0.6411921935865568,0.3099913889723828,0.5839849965768311,0.5712872457935401,0.4078018070154155|0.6344935047620014,0.31526752860701157,0.5834140693053214,0.5791008292108646,0.38798678568874356|0.6210961271128941,0.3258198078762731,0.5822722147622983,0.5947279960455043,0.34835674303540703|0.6076987494637732,0.3363720871455277,0.5811303602192707,0.6103551628801447,0.3087267003820616|0.5943013718146668,0.3469243664147898,0.5799885056762485,0.6259823297147834,0.26909665772871755
0.8077303971136556,0.18436956790131587,0.599916944449803,0.36993697928167113,0.8987924739827102|0.8068802535934091,0.18505423514054611,0.5998012100971137,0.370931481930342,0.8963171391959697|0.8060301100731638,0.18573890237977758,0.5996854757444269,0.37192598457901527,0.8938418044092312|0.804329823032668,0.18710823685823763,0.5994540070390487,0.3739149898763584,0.888891134835751|0.8009292489516809,0.18984690581516006,0.5989910696282913,0.37789300047104374,0.8789897956887902|0.7941281007897045,0.1953242437290051,0.598065194806782,0.3858490216604176,0.8591871173948703|0.7805258044657531,0.2062789195566939,0.5962134451637583,0.4017610640391633,0.819581760807033|0.7669235081418071,0.21723359538438466,0.5943616955207387,0.41767310641791233,0.7799764042191968|0.7533212118178555,0.2281882712120729,0.5925099458777191,0.4335851487966553,0.7403710476313592|0.7397189154939136,0.23914294703976557,0.5906581962347047,0.44949719117540177,0.7007656910435182|0.7261166191699693,0.2500976228674612,0.5888064465916822,0.46540923355414915,0.6611603344556861|0.712514322846023,0.26105229869515334,0.5869546969486663,0.4813212759328922,0.6215549778678463|0.7057131746840517,0.2665296366089998,0.5860288221271545,0.48927729712226625,0.6017522995739282|0.7023126006030638,0.26926830556592446,0.5855658847164025,0.4932553077169558,0.5918509604269688|0.7006123135625731,0.2706376400443846,0.5853344160110231,0.49524431301429706,0.5869002908534888|0.6989120265220773,0.2720069745228466,0.5851029473056487,0.497233318311641,0.581949621280008|0.6853097301981235,0.28296165035054033,0.583251197662627,0.5131453606903871,0.5423442646921689|0.678508582036148,0.2884389882643868,0.5823253228411174,0.5211013818797616,0.5225415863982479|0.6751080079551629,0.2911776572213112,0.5818623854303627,0.5250793924744455,0.5126402472512888|0.6717074338741753,0.2939163261782361,0.5813994480196094,0.5290574030691357,0.5027389081043291|0.6581051375502284,0.30487100200592737,0.5795476983765919,0.5449694454478813,0.4631335515164861|0.6445028412262838,0.3158256778336237,0.5776959487335726,0.5608814878266319,0.4235281949286539|0.6436526977060363,0.3165103450728535,0.5775802143808865,0.5618759904753041,0.421052860141912|0.6428025541857898,0.3171950123120836,0.5774644800282008,0.5628704931239771,0.4185775253551745|0.6411022671452951,0.3185643467905444,0.5772330113228179,0.5648594984213176,0.4136268557816918|0.6377016930643111,0.3213030157474688,0.5767700739120665,0.5688375090160062,0.4037255166347353|0.6309005449023347,0.3267803536613139,0.5758441990905553,0.5767935302053823,0.383922838340819|0.6172982485783808,0.33773502948900685,0.5739924494475375,0.5927055725841287,0.34431748175297966|0.6036959522544341,0.34868970531669846,0.5721406998045199,0.6086176149628789,0.30471212516514506|0.5900936559304801,0.3596443811443856,0.5702889501615055,0.6245296573416197,0.2651067685773025
0.8068013800268683,0.19065123769595138,0.601575710534933,0.36392629820276257,0.8944076077832229|0.8059384290894447,0.19136105472008444,0.6014156077384966,0.3649386055729405,0.891933815875579|0.805075478152015,0.1920708717442156,0.6012555049420557,0.36595091294311566,0.8894600239679298|0.803349576277174,0.19349050579248317,0.6009352993491816,0.367975527683475,0.8845124401526417|0.7998977725274741,0.19632977388901385,0.600294888163427,0.37202475716418915,0.8746172725220545|0.7929941650280756,0.20200831008207654,0.5990140657919203,0.3801232161256181,0.8548269372608918|0.7791869500292895,0.2133653824682024,0.596452421048911,0.39632013404847477,0.8152462667385592|0.7653797350305058,0.22472245485432846,0.5938907763058924,0.41251705197133165,0.7756655962162249|0.7515725200317144,0.2360795272404526,0.5913291315628795,0.42871396989418553,0.7360849256938853|0.737765305032934,0.24743659962658074,0.5887674868198665,0.4449108878170409,0.6965042551715547|0.7239580900341541,0.2587936720127101,0.5862058420768649,0.4611078057398951,0.6569235846492165|0.7101508750353738,0.2701507443988387,0.5836441973338504,0.47730472366275306,0.6173429141268912|0.7032472675359822,0.27582928059190376,0.5823633749623474,0.48540318262418103,0.5975525788657238|0.6997954637862883,0.2786685486884375,0.5817229637765959,0.48945241210489493,0.587657411235141|0.6980695619114379,0.2800881827367018,0.5814027581837181,0.4914770268452536,0.5827098274198468|0.6963436600365926,0.28150781678496906,0.5810825525908428,0.4935016415856107,0.577762243604559|0.6825364450377992,0.2928648891711005,0.5785209078478292,0.5096985595084655,0.5381815730822229|0.6756328375384076,0.29854342536416295,0.5772400854763241,0.5177970184698898,0.5183912378210553|0.6721810337887103,0.3013826934606954,0.5765996742905752,0.5218462479506026,0.5084960701904697|0.668729230039014,0.3042219615572287,0.5759592631048235,0.5258954774313207,0.49860090255989115|0.6549220150402295,0.3155790339433574,0.5733976183618092,0.5420923953541787,0.4590202320375559|0.6411148000414463,0.3269361063294872,0.5708359736188039,0.5582893132770387,0.41943956151522555|0.6402518491040203,0.3276459233536199,0.5706758708223624,0.559301620647217,0.41696576960757537|0.639388898166598,0.32835574037775234,0.5705157680259217,0.5603139280173942,0.4144919776999328|0.6376629962917516,0.32977537442602,0.5701955624330515,0.5623385427577522,0.4095443938846409|0.6342111925420547,0.3326146425225517,0.5695551512472955,0.5663877722384653,0.3996492262540576|0.6273075850426619,0.3382931787156157,0.5682743288757901,0.5744862311998986,0.37985889099289266|0.6135003700438766,0.3496502511017444,0.5657126841327819,0.5906831491227565,0.34027822047056117|0.5996931550450834,0.36100732348787556,0.5631510393897733,0.6068800670456145,0.3006975499482277|0.5858859400462861,0.372364395873997,0.5605893946467558,0.6230769849684608,0.2611168794258925
0.8049433458532931,0.2032145772852218,0.6048932427052036,0.3519049360449432,0.8856378753842473|0.804054780081515,0.2039746938791599,0.6046444030212652,0.35295285285813544,0.8831671692347891|0.8031662143097306,0.20473481047309644,0.6043955633373255,0.3540007696713277,0.8806964630853295|0.8013890827661766,0.20625504366097233,0.6038978839694538,0.3560966032977116,0.8757550507864118|0.7978348196790581,0.20929551003671965,0.6029025252337041,0.3602882705504829,0.8658722261885855|0.7907262935048285,0.21537644278821844,0.6009118077622063,0.3686716050560167,0.8461065769929207|0.7765092411563697,0.2275383082912162,0.596930372819208,0.3854382740670958,0.8065752786015972|0.7622921888079042,0.23970017379421443,0.5929489378762103,0.40220494307817056,0.7670439802102765|0.7480751364594421,0.2518620392972113,0.5889675029332082,0.41897161208924777,0.7275126818189465|0.7338580841109907,0.2640239048002119,0.5849860679902212,0.43573828110032264,0.6879813834276296|0.719641031762529,0.27618577030321373,0.5810046330472212,0.4525049501113943,0.6484500850363084|0.7054239794140726,0.2883476358062112,0.5770231981042278,0.4692716191224701,0.6089187866449787|0.6983154532398463,0.29442856855771377,0.575032480632734,0.47765495362800875,0.5891531374493167|0.6947611901527346,0.2974690349334656,0.5740371218969802,0.4818466208807756,0.5792703128514861|0.6929840586091747,0.2989892681213393,0.5735394425291082,0.4839424545071605,0.574328900552574|0.6912069270656235,0.30050950130921317,0.5730417631612388,0.4860382881335439,0.5693874882536567|0.6769898747171549,0.3126713668122141,0.5690603282182396,0.5028049571446166,0.5298561898623315|0.669881348542923,0.3187522995637148,0.5670696107467379,0.5111882916501541,0.5100905406666693|0.6663270854558049,0.3217927659394643,0.5660742520109887,0.5153799589029234,0.5002077160688346|0.6627728223686886,0.32483323231521455,0.5650788932752403,0.519571626155692,0.4903248914710012|0.6485557700202287,0.33699509781821885,0.5610974583322481,0.5363382951667695,0.45079359307968153|0.6343387176717729,0.34915696332121826,0.5571160233892524,0.5531049641778467,0.41126229468835745|0.6334501519000005,0.34991707991515747,0.5568671837053193,0.5541528809910466,0.4087915885389036|0.632561586128215,0.35067719650909435,0.5566183440213744,0.5552007978042306,0.40632088238944447|0.630784454584662,0.35219742969696904,0.5561206646535065,0.5572966314306199,0.40137947009052993|0.6272301914975446,0.3552378960727173,0.5551253059177562,0.5614882986833868,0.39149664549269725|0.6201216653233141,0.3613188288242191,0.5531345884462635,0.5698716331889299,0.3717309962970377|0.6059046129748548,0.3734806943272196,0.5491531535032629,0.5866383022000039,0.3321996979057163|0.591687560626398,0.385642559830224,0.545171718560276,0.6034049712110886,0.2926683995143952|0.5774705082779347,0.3978044253332221,0.541190283617277,0.6201716402221603,0.2531371011230693
0.8012272775061368,0.22834125646376308,0.611528307045734,0.32786221172930646,0.8680984105862836|0.8002874820656458,0.2292019721973087,0.6111019935867957,0.3289813474285267,0.8656338759532042|0.7993476866251549,0.23006268793085402,0.6106756801278638,0.33010048312774576,0.8631693413201177|0.7974680957441734,0.23178411939794769,0.6098230532099909,0.33233875452618544,0.8582402720539554|0.7937089139822282,0.23522698233213385,0.6081177993742538,0.3368152973230649,0.8483821335216344|0.7861905504583172,0.2421127082005029,0.6047072917027652,0.3457683829168193,0.8286658564569782|0.7711538234105108,0.25588415993724384,0.5978862763598028,0.36367455410433386,0.7892333023276762|0.7561170963626972,0.2696556116739871,0.5910652610168381,0.3815807252918478,0.7498007481983656|0.7410803693148881,0.2834270634107273,0.5842442456738702,0.39948689647936353,0.7103681940690609|0.7260436422670834,0.29719851514747375,0.5774232303309076,0.4173930676668786,0.6709356399397675|0.7110069152192785,0.31096996688421435,0.570602214987944,0.43529923885439065,0.6315030858104592|0.6959701881714684,0.32474141862095957,0.5637811996449779,0.45320541004190207,0.592070531681156|0.6884518246475734,0.3316271444893309,0.5603706919734975,0.46215849563566225,0.5723542546165037|0.684692642885619,0.3350700074235167,0.5586654381377559,0.46663503843253984,0.5624961160841747|0.6828130520046438,0.3367914388906083,0.5578128112198849,0.4688733098309752,0.5575670468180136|0.6809334611236711,0.3385128703577035,0.5569601843020179,0.4711115812294177,0.5526379775518493|0.6658967340758585,0.352284322094448,0.5501391689590557,0.4890177524169308,0.5132054234225469|0.6583783705519519,0.35917004796281876,0.5467286612875697,0.49797083801068687,0.4934891463578942|0.6546191887899954,0.36261291089700537,0.54502340745183,0.5024473808075609,0.4836310078255674|0.6508600070280475,0.3660557738311936,0.5433181536160911,0.5069239236044432,0.4737728692932465|0.6358232799802462,0.3798272255679399,0.5364971382731263,0.5248300947919615,0.43434031516394334|0.6207865529324376,0.39359867730467807,0.5296761229301639,0.5427362659794761,0.39490776103463815|0.619846757491948,0.39445939303822614,0.5292498094712261,0.5438554016786971,0.3924432264015542|0.6189069620514588,0.39532010877177487,0.5288234960122937,0.5449745373779167,0.3899786917684721|0.6170273711704898,0.39704154023886745,0.5279708690944234,0.547212808776361,0.3850496225023139|0.6132681894085349,0.40048440317305384,0.5262656152586808,0.5516893515732346,0.3751914839699859|0.6057498258846284,0.4073701290414275,0.5228551075871968,0.5606424371669901,0.35547520690533113|0.5907130988368215,0.4211415807781723,0.516034092244233,0.5785486083545074,0.31604265277602794|0.5756763717890097,0.43491303251491575,0.509213076901272,0.5964547795420262,0.2766100986467248|0.5606396447412091,0.4486844842516717,0.5023920615583213,0.6143609507295373,0.23717754451742484
